Map_Id	Map_Label	Parent_id	Parent_Area	NGI_POLYGON_ID	Geo_PolygonID	LOGICAL_GROUPING	MISSING_SHAPE_FILE	Level	Old ΧΕ Area ID
224	Δ. Αρμένων 	30	Ν. Χανίων	9404000				3	851
225	Δ. Αρναίας 	14	Ν. Χαλκιδικής	6403000				2	850002
226	Δ. Άρνης 	45	Ν. Καρδίτσας	4103000				3	822
227	Δ. Αροανίας 	20	Ν. Αχαΐας	1305000				3	806
228	Δ. Αρριανών 	28	Ν. Ροδόπης	7303000				3	843
230	Δ. Αρτέμιδας 	41	Ν. Μαγνησίας	4307000				3	835
232	Δ. Αρτεμισίου 	23	Ν. Ευβοίας	0405000				3	812
234	Δ. Αρφαρών 	52	Ν. Μεσσηνίας	1709000				3	836
237	Δ. Αρχανών 	10	Ν. Ηρακλείου	9104000				3	817
238	Δ. Ασίνης	42	Ν. Αργολίδας	1103000				3	802
239	Δ. Ασκίου 	16	Ν. Κοζάνης	5804000				3	827
240	Δ. Ασκληπιείου 	42	Ν. Αργολίδας	1104000				3	802
241	Δ. Ασπροποτάμου 	5	Ν. Ευρυτανίας	0504000				3	813
243	Δ. Ασσήρου	69	 Υπόλοιπο Ν. Θεσσαλονίκης	5409000				3	819999
246	Δ. Αστερουσίων 	10	Ν. Ηρακλείου	9105000				3	817
248	Δ. Ασωπού	9	Ν. Λακωνίας	1603000				3	830
250	Δ. Αταλάντης 	18	Ν. Φθιώτιδας	0605000				3	847
253	Δ. Αυλώνα 	52	Ν. Μεσσηνίας	1710000				3	836
254	Δ. Αυλώνος 	23	Ν. Ευβοίας	0407000				3	812
257	Δ. Αφετών 	41	Ν. Μαγνησίας	4308000				3	835
259	Δ. Αχελώου 	45	Ν. Καρδίτσας	4104000				3	822
260	Δ. Αχέροντα 	53	Ν.Θεσπρωτίας	3202000				3	818
262	Δ. Αχινού 	15	Ν. Σερρών	6204000				3	845
263	Δ. Βαγίων 	38	Ν. Βοιωτίας	0305000				3	807
265	Δ. Βαλτετσίου 	32	Ν. Αρκαδίας	1203000				3	803
266	Δ. Βάμου 	30	Ν. Χανίων	9405000				3	851
267	Δ. Βαρδουσίων 	6	Ν. Φωκίδας	0702000				3	849
269	Δ. Βαρθολομιού 	44	Ν. Ηλείας	1407000				3	815
270	Δ. Βασιλικής 	54	Ν. Τρικάλων	4403000				3	846
271	Δ. Βασιλικών	69	 Υπόλοιπο Ν. Θεσσαλονίκης	5410000				3	819999
272	Δ. Βεγορίτιδας 	4	Ν. Πέλλας	5903000				3	839
273	Δ. Βελβεντού	16	Ν. Κοζάνης	5805000				3	827
275	Δ. Βεντζίου 	24	Ν. Γρεβενών	5102000				3	808
276	Δ. Βεργίνας 	17	Ν. Ημαθίας	5306000				3	816
277	Δ. Βερμίου 	16	Ν. Κοζάνης	5806000				3	827
279	Δ. Βερτίσκου	69	 Υπόλοιπο Ν. Θεσσαλονίκης	5411000				3	819999
280	Δ. Βιάννου 	10	Ν. Ηρακλείου	9106000				3	817
282	Δ. Βίνιανης 	5	Ν. Ευρυτανίας	0505000				3	813
283	Δ. Βισαλτίας 	15	Ν. Σερρών	6205000				3	845
284	Δ. Βιστωνίδος 	49	Ν. Ξάνθης	7203000				3	837
285	Δ. Βιτσίου 	33	Ν. Καστοριάς	5606000				3	823
286	Δ. Βλαχέρνας 	46	Ν. Άρτας	3106000				3	804
295	Δ. Βοιών 	9	Ν. Λακωνίας	1604000				3	830
289	Δ. Βουκολιών 	30	Ν. Χανίων	9406000				3	851
292	Δ. Βουπρασίας 	44	Ν. Ηλείας	1408000				3	815
293	Δ. Βουφράδων 	52	Ν. Μεσσηνίας	1711000				3	836
294	Δ. Βόχας 	29	Ν. Κορίνθου	1505000				3	828
296	Δ. Βραχναίικων 	20	Ν. Αχαΐας	1306000				3	806
299	Δ. Βύσσας 	11	Ν. Έβρου	7102000				3	811
301	Δ. Βώλακος 	44	Ν. Ηλείας	1409000				3	815
302	Δ. Γαζίου 	10	Ν. Ηρακλείου	9107000				3	817
305	Δ. Γαλλικού 	51	Ν. Κιλκίς	5703000				3	826
306	Δ. Γαργαλιάνων 	52	Ν. Μεσσηνίας	1712000				3	836
307	Δ. Γαστούνης 	44	Ν. Ηλείας	1410000				3	815
310	Δ. Γερονθρών 	9	Ν. Λακωνίας	1605000				3	830
311	Δ. Γεροποτάμου 	40	Ν. Ρεθύμνου	9304000				3	842
312	Δ. Γεώργιου Καραϊσκάκη 	46	Ν. Άρτας	3107000				3	804
313	Δ. Γεωργιουπόλεως 	30	Ν. Χανίων	9407000				3	851
314	Δ. Γιαννιτσών 	4	Ν. Πέλλας	5904000				3	839
315	Δ. Γιάννουλης 	8	Ν. Λάρισας	4206000				3	832
318	Δ. Γόμφων 	54	Ν. Τρικάλων	4404000				3	846
319	Δ. Γόννων 	8	Ν. Λάρισας	4207000				3	832
320	Δ. Γόργιανης 	24	Ν. Γρεβενών	5103000				3	808
321	Δ. Γοργολαΐνη 	10	Ν. Ηρακλείου	9108000				3	817
322	Δ. Γοργοποτάμου 	18	Ν. Φθιώτιδας	0606000				3	847
323	Δ. Γόρτυνας 	10	Ν. Ηρακλείου	9109000				3	817
324	Δ. Γόρτυνος 	32	Ν. Αρκαδίας	1206000				3	803
325	Δ. Γουβών 	10	Ν. Ηρακλείου	9110000				3	817
326	Δ. Γουμένισσας 	51	Ν. Κιλκίς	5704000				3	826
327	Δ. Γραβιάς 	6	Ν. Φωκίδας	0704000				3	849
328	Δ. Γράμου 	33	Ν. Καστοριάς	5662000				3	823
333	Δ. Δαφνουσίων 	18	Ν. Φθιώτιδας	0607000				3	847
334	Δ. Δελβινακίου 	3	Ν. Ιωαννίνων	3307000				3	820
336	Δ. Δερβενοχωρίων 	38	Ν. Βοιωτίας	0307000				3	807
337	Δ. Δερβιζιάνων 	3	Ν. Ιωαννίνων	3308000				3	820
338	Δ. Δεσκάτης 	24	Ν. Γρεβενών	5104000				3	808
339	Δ. Δεσφίνας 	6	Ν. Φωκίδας	0706000				3	849
340	Δ. Δημητρίου Υψηλάντη 	16	Ν. Κοζάνης	5807000				3	827
345	Δ. Δίου 	1	Ν. Πιερίας	6104000				3	840
346	Δ. Διρφύων 	23	Ν. Ευβοίας	0408000				3	812
